Firm,Date,Complaints per 1000,Closed,Upheld%,Closed 8 weeks+%,FOS new cases#,FOS Upheld%,FOS cases per 1m
MONZO BANK LIMITED,2024 - H1,3.59,39742,0.33,0.124201097,2839,0.548901336,256.4543808
MONZO BANK LIMITED,2024 - H2,3.78,56058,0.3229,0.151878412,3393,0.390527256,228.7905384
MONZO BANK LIMITED,2025 - H1,2.31,37486,0.3008,0.0776,2996,0.347593583,184.6225257
TSB BANKING GROUP,2018 - H1,16.48,60180,0.787853107,0.02630442,2143,0.41,586.8501163
TSB BANKING GROUP,2018 - H2,9.66,109062,0.927243219,0.605884726,5547,0.9,491.317049
TSB BANKING GROUP,2019 - H1,6.05,89809,0.787025799,0.444810654,2390,0.64,161.0027948
TSB BANKING GROUP,2019 - H2,5.13,43114,0.685183467,0.006842325,1185,0.353858785,140.9994433
TSB BANKING GROUP,2020 - H1,4.05,33952,0.6,0.003004241,904,0.27431694,107.83459
TSB BANKING GROUP,2020 - H2,4.21,36158,0.684,0.005005808,1106,0.256410256,128.7753747
TSB BANKING GROUP,2021 - H1,4.28,36067,0.683893864,0.002633987,1215,0.276269185,144.1816619
TSB BANKING GROUP,2021 - H2,3.88,32553,0.679,0.003993488,856,0.267287234,102.0268485
TSB BANKING GROUP,2022 - H1,3.9,32460,0.722,0.003203943,737,0.332560834,88.54898336
TSB BANKING GROUP,2022 - H2,3.59,30438,0.7368,0.006899271,666,0.312727273,78.55115316
TSB BANKING GROUP,2023 - H1,3.38,29579,0.665066432,0.006423476,851,0.331932773,97.24399067
TSB BANKING GROUP,2023 - H2,3.05,27633,0.6898,0.011001339,707,0.34,78.03532009
TSB BANKING GROUP,2024 - H1,2.59,23831,0.6495,0.005287231,652,0.334565619,70.8606437
TSB BANKING GROUP,2024 - H2,3.29,29045,0.6593,0.012738854,752,0.306167401,85.18092615
TSB BANKING GROUP,2025 - H1,3.07,29105,0.5568,0.0225,877,0.241042345,92.50609861
CAPITAL ONE FINANCIAL CORP,2018 - H1,3.41,11206,0.245671961,0.008031412,349,0.26,106.2011422
CAPITAL ONE FINANCIAL CORP,2018 - H2,4.05,14035,0.260919131,0.002850018,353,0.29,101.8631991
CAPITAL ONE FINANCIAL CORP,2019 - H1,5.43,19777,0.230166355,0.00894979,380,0.35,104.3333165
CAPITAL ONE FINANCIAL CORP,2019 - H2,6.14,23666,0.174089411,0.008028395,295,0.37883959,76.53595876
CAPITAL ONE FINANCIAL CORP,2020 - H1,5.92,23569,0.171,0.00398829,336,0.370491803,84.3956044
CAPITAL ONE FINANCIAL CORP,2020 - H2,5.07,18902,0.208,0.002010369,549,0.332142857,147.2558459
CAPITAL ONE FINANCIAL CORP,2021 - H1,4.17,15047,0.204226756,0.005250216,572,0.345132743,158.5193062
CAPITAL ONE FINANCIAL CORP,2021 - H2,3.36,13694,0.229,0.00701037,625,0.318181818,153.3518329
CAPITAL ONE FINANCIAL CORP,2022 - H1,4.08,17289,0.3192,0.003875296,527,0.337559429,124.3657817
CAPITAL ONE FINANCIAL CORP,2022 - H2,3.6,16563,0.4264,0.003682908,464,0.300865801,100.8512951
CAPITAL ONE FINANCIAL CORP,2023 - H1,4.35,17791,0.377494239,0.049013546,689,0.293181818,168.4643921
CAPITAL ONE FINANCIAL CORP,2023 - H2,4.1,20192,0.3601,0.159815769,825,0.329090909,167.5168384
CAPITAL ONE FINANCIAL CORP,2024 - H1,5.01,24932,0.3477,0.015401893,958,0.313333333,192.5068185
CAPITAL ONE FINANCIAL CORP,2024 - H2,4.59,25132,0.3115,0.009509788,1293,0.22972973,236.1479389
CAPITAL ONE FINANCIAL CORP,2025 - H1,4.55,24529,0.3346,0.022,1141,0.222677596,211.6494761
STARLING BANK LIMITED,2018 - H1,0,0,0,0,0,0,0
STARLING BANK LIMITED,2018 - H2,0,0,0,0,0,0,0
STARLING BANK LIMITED,2019 - H1,1.51,983,0.448626653,0.001017294,0,0,0
STARLING BANK LIMITED,2019 - H2,2.11,2169,0.235592439,0,74,0.350877193,71.98709083
STARLING BANK LIMITED,2020 - H1,1.93,2386,0.344,0,128,0.291666667,103.5373009
STARLING BANK LIMITED,2020 - H2,0,0,0,0,256,0.361445783,0
STARLING BANK LIMITED,2021 - H1,1.23,2608,0.252684049,0,368,0.392857143,173.5582822
STARLING BANK LIMITED,2021 - H2,1.4,3333,0.274,0,403,0.415584416,169.2769277
STARLING BANK LIMITED,2022 - H1,1.49,3884,0.2021,0.0007724,512,0.287671233,196.4160659
STARLING BANK LIMITED,2022 - H2,1.46,4739,0.3068,0.00168812,502,0.316666667,154.6571007
STARLING BANK LIMITED,2023 - H1,2.97,8037,0.391812865,0.012442454,432,0.376470588,159.6416573
STARLING BANK LIMITED,2023 - H2,4.74,19114,0.4679,0.002720519,553,0.283224401,137.1361306
STARLING BANK LIMITED,2024 - H1,5.07,19426,0.5247,0.005405127,572,0.261663286,149.2865232
STARLING BANK LIMITED,2024 - H2,5.07,21983,0.4302,0.001000773,731,0.21875,168.5925488
STARLING BANK LIMITED,2025 - H1,4.52,21949,0.3679,0.001,689,0.210180624,141.8871019
THE ROYAL BANK OF SCOTLAND GROUP,2018 - H1,5.761479784,190146,0.605902833,0.084082757,5805,0.283403962,175.8932091
THE ROYAL BANK OF SCOTLAND GROUP,2018 - H2,5.050109686,172387,0.611235186,0.044162263,4767,0.305246486,139.6501643
THE ROYAL BANK OF SCOTLAND GROUP,2019 - H1,4.739708609,155658,0.673046037,0.027933033,4239,0.514538806,129.0754397
THE ROYAL BANK OF SCOTLAND GROUP,2019 - H2,4.730380301,152615,0.686970481,0.030121548,3303,0.421331039,102.3781813
THE ROYAL BANK OF SCOTLAND GROUP,2020 - H1,3.676059319,121528,0.665898583,0.045265289,3275,0.350865722,99.06436599
THE ROYAL BANK OF SCOTLAND GROUP,2020 - H2,3.364645537,114531,0.65632868,0.072137675,4195,0.451342618,123.2390185
THE ROYAL BANK OF SCOTLAND GROUP,2021 - H1,3.248883162,103857,0.670450716,0.065802016,4067,0.404925006,127.2250096
THE ROYAL BANK OF SCOTLAND GROUP,2021 - H2,2.575919344,91363,0.685971345,0.076595558,3105,0.418648952,87.54342089
THE ROYAL BANK OF SCOTLAND GROUP,2022 - H1,2.504673328,80976,0.763148069,0.032948034,2936,0.377339319,90.81358538
THE ROYAL BANK OF SCOTLAND GROUP,2022 - H2,2.35534161,78970,0.773269452,0.037102697,3202,0.412922775,95.50213795
THE ROYAL BANK OF SCOTLAND GROUP,2023 - H1,2.341521151,81508,0.764845169,0.040315061,3567,0.43268211,102.4709961
THE ROYAL BANK OF SCOTLAND GROUP,2023 - H2,2.559078673,87863,0.740251767,0.061857665,3332,0.404705882,97.04710902
THE ROYAL BANK OF SCOTLAND GROUP,2024 - H1,2.776652043,104216,0.656824021,0.054041606,3414,0.418743409,90.96002606
THE ROYAL BANK OF SCOTLAND GROUP,2024 - H2,2.75343512,98934,0.632886753,0.046940384,3272,0.369995092,91.0631301
THE ROYAL BANK OF SCOTLAND GROUP,2025 - H1,2.832437141,103355,0.606382386,0.053862475,3451,0.324265691,94.57443348
JPMORGAN CHASE & CO,2018 - H1,0.68,982,0.541751527,0,0,0,0
JPMORGAN CHASE & CO,2018 - H2,0.74,933,0.625937835,0,0,0,0
JPMORGAN CHASE & CO,2019 - H1,0.85,961,0.577523413,0,0,0,0
JPMORGAN CHASE & CO,2019 - H2,0.88,867,0.558246828,0,0,0,0
JPMORGAN CHASE & CO,2020 - H1,1.1,874,0.635,0.00228833,0,0,0
JPMORGAN CHASE & CO,2020 - H2,1.19,775,0.635,0,0,0,0
JPMORGAN CHASE & CO,2021 - H1,1.47,724,0.662983425,0,0,0,0
JPMORGAN CHASE & CO,2021 - H2,2.03,848,0.647,0,0,0,0
JPMORGAN CHASE & CO,2022 - H1,1.59,2698,0.6423,0.00148258,0,0,0
JPMORGAN CHASE & CO,2022 - H2,2.08,7667,0.5678,0.000260858,170,0.317460317,46.11973392
JPMORGAN CHASE & CO,2023 - H1,1.7,7455,0.407377599,0.014889336,281,0.373417722,64.07780013
JPMORGAN CHASE & CO,2023 - H2,2.64,14737,0.4044,0.000203569,341,0.560714286,61.08705978
JPMORGAN CHASE & CO,2024 - H1,1.82,12056,0.3704,0.000497678,397,0.53,59.93198407
JPMORGAN CHASE & CO,2024 - H2,1.67,12516,0.4032,0.000319591,461,0.330246914,61.51086609
JPMORGAN CHASE & CO,2025 - H1,1.37,10763,0.466,0.0008,374,0.299465241,47.60568615
CO-OPERATIVE GROUP LIMITED,2018 - H1,2.87,14402,0.527218442,0.004652132,351,0.18,69.9465352
CO-OPERATIVE GROUP LIMITED,2018 - H2,2.59,12210,0.561179361,0.006961507,324,0.25,68.72727273
CO-OPERATIVE GROUP LIMITED,2019 - H1,2.82,12559,0.615335616,0.009316028,268,0.47,60.17676567
CO-OPERATIVE GROUP LIMITED,2019 - H2,3.27,13850,0.601949458,0.026787004,209,0.335195531,49.34512635
CO-OPERATIVE GROUP LIMITED,2020 - H1,2.74,12036,0.539,0.034978398,216,0.290816327,49.17248255
CO-OPERATIVE GROUP LIMITED,2020 - H2,3.35,14257,0.492,0.01501017,347,0.329192118,81.53538613
CO-OPERATIVE GROUP LIMITED,2021 - H1,3.34,14191,0.465013036,0.01987175,431,0.419463087,101.4403495
CO-OPERATIVE GROUP LIMITED,2021 - H2,4.13,16699,0.328,0.011018624,406,0.445714286,100.4120007
CO-OPERATIVE GROUP LIMITED,2022 - H1,3.97,15540,0.4342,0.043500644,283,0.339522546,72.2979408
CO-OPERATIVE GROUP LIMITED,2022 - H2,4.56,16337,0.4908,0.102528004,330,0.391304348,92.1099345
CO-OPERATIVE GROUP LIMITED,2023 - H1,4.42,15600,0.503269231,0.070448718,405,0.411267606,114.75
CO-OPERATIVE GROUP LIMITED,2023 - H2,3.58,12492,0.5669,0.05651617,386,0.445945946,110.6211976
CO-OPERATIVE GROUP LIMITED,2024 - H1,3.67,12016,0.655,0.041028628,386,0.520231214,117.894474
CO-OPERATIVE GROUP LIMITED,2024 - H2,3,10735,0.6743,0.098835585,424,0.496296296,118.4909176
CO-OPERATIVE GROUP LIMITED,2025 - H1,2.62,9244,0.6765,0.0392,302,0.398601399,85.59498053
